id,problem,date,model,duration_minutes,outcome,L1,L2,L3,L4,L5,L6,L7,key_insights_count,follow_ups_count,novel_bridges_count
A001,03-p-vs-np,2026-04-29,claude-opus-4-7,30,survey,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,5,2
A002,03-p-vs-np,2026-04-29,claude-opus-4-7,45,partial-insight,pending,n/a,n/a,n/a,n/a,n/a,n/a,4,6,0
A003,03-p-vs-np,2026-04-29,claude-opus-4-7,50,partial-insight,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,6,0
A004,03-p-vs-np,2026-04-30,claude-opus-4-7,30,partial-insight,pending,n/a,n/a,n/a,n/a,n/a,n/a,4,6,0
A005,03-p-vs-np,2026-05-20,claude-opus-4-7,180,partial-insight,pending,n/a,n/a,n/a,n/a,n/a,n/a,4,8,0
A006,03-p-vs-np,2026-05-20,claude-opus-4-7,120,partial-insight,pass,pass,n/a,n/a,n/a,n/a,n/a,4,8,0
A007,03-p-vs-np,2026-05-20,claude-opus-4-7,240,partial-insight,pass,pass,n/a,n/a,n/a,n/a,n/a,5,12,0
A008,03-p-vs-np,2026-05-21,claude-opus-4-7,150,partial-insight,pass,pass,n/a,n/a,n/a,n/a,n/a,5,8,0
A009,03-p-vs-np,2026-05-21,claude-opus-4-7,90,partial-insight,pass,pass,n/a,n/a,n/a,n/a,n/a,4,9,0
A010,03-p-vs-np,2026-05-25,claude-opus-4-7,120,partial-insight,pass,pass,n/a,n/a,n/a,n/a,n/a,4,6,0
A011,03-p-vs-np,2026-05-25,claude-opus-4-7,90,partial-insight,pass,pass,n/a,n/a,n/a,n/a,n/a,4,6,0
A001,05-navier-stokes,2026-05-26,claude-opus-4-7,90,partial-insight,pass,n/a,n/a,n/a,n/a,n/a,n/a,5,6,0
